path	ngenes_tscore	Dx_z	Dx_pval	Dx_pval_BHcorr	genes_path	tissue	class_pathway	type_path	drugBank_ann	drugBank_n	drugBank_id	drugBank_gene	drugBank_usedForSCZ
lateral ventricle development	2	3.66630429741876	0.000246081081893264	0.0262427896619031	RPGRIP1L,MYH10	Brain_Nucleus_accumbens_basal_ganglia	pathway P < genes P & genes FDR > 0.05	GO		0			
pituitary gland development	3	-3.88260725287145	0.000103342410243567	0.017143357610405	MSX1,ETS1,GLI1	Brain_Nucleus_accumbens_basal_ganglia	genes P < pathway P	GO		0			
transport vesicle membrane	7	3.76795443969948	0.000164590731955321	0.0204778302341079	HLA-DRB5,HLA-DRB1,HLA-DQA1,HLA-DQB1,HLA-DQA2,CUZD1,SCG3	Brain_Nucleus_accumbens_basal_ganglia	genes P < pathway P	GO	Methyclothiazide-and-Topiramate-and-Ethoxzolamide-and-Bendroflumethiazide-and-Benzthiazide-and-Methazolamide-and-Hydroflumethiazide-and-Acetazolamide-and-Dorzolamide-and-Zonisamide-and-Trichlormethiazide-and-Diclofenamide-and-Brinzolamide-and-1D09C3-and-Glatiramer-and-Ellagic acid-and-Sodium carbonate-and-Coccidioides immitis spherule	18	DB00232-and-DB00273-and-DB00311-and-DB00436-and-DB00562-and-DB00703-and-DB00774-and-DB00819-and-DB00869-and-DB00909-and-DB01021-and-DB01144-and-DB01194-and-DB05121-and-DB05259-and-DB08846-and-DB09460-and-DB11294	CA4-and-HLA-DRA-and-HLA-DRB1	
endocytic vesicle membrane	6	4.26327090056531	2.01456037173132e-05	0.00952658651035201	HLA-DRB5,HLA-DRB1,HLA-DQA1,HLA-DQB1,HLA-DQA2,CAMK2G	Brain_Nucleus_accumbens_basal_ganglia	pathway P < genes P & genes FDR < 0.05	GO	Botulinum Toxin Type B-and-Glutamic acid-and-Butabarbital-and-Ethanol-and-Talampanel-and-CX717-and-1D09C3-and-Glatiramer-and-Coccidioides immitis spherule-and-Fluciclovine (18F)	10	DB00042-and-DB00142-and-DB00237-and-DB00898-and-DB04982-and-DB05047-and-DB05121-and-DB05259-and-DB11294-and-DB13146	VAMP1-and-GRIA4-and-HLA-DRA-and-HLA-DRB1	Glutamic acid
clathrin-coated endocytic vesicle membrane	5	4.16486828404045	3.11532367143655e-05	0.00952658651035201	HLA-DRB5,HLA-DRB1,HLA-DQA1,HLA-DQB1,HLA-DQA2	Brain_Nucleus_accumbens_basal_ganglia	pathway P < genes P & genes FDR < 0.05	GO	Insulin pork-and-Glatiramer	3	DB00071-and-DB05259	HLA-DQA2-and-HLA-DQB1-and-HLA-DRB1	
regulation of microtubule polymerization or depolymerization	2	3.5918430559996	0.000328347579998701	0.0280767314317367	SKA2,STMN3	Brain_Nucleus_accumbens_basal_ganglia	pathway P < genes P & genes FDR > 0.05	GO		0			
cleavage furrow	2	3.36048020712859	0.000778071055061612	0.0489474100171174	SEPT2,MYH10	Brain_Nucleus_accumbens_basal_ganglia	pathway P < genes P & genes FDR > 0.05	GO		0			
MHC class II receptor activity	5	3.47666890519978	0.000507684337103441	0.0378986357647718	HLA-DRB1,HLA-DQA1,HLA-DQB1,HLA-DQA2,HLA-DOB	Brain_Nucleus_accumbens_basal_ganglia	genes P < pathway P	GO	1D09C3-and-Glatiramer-and-Coccidioides immitis spherule	3	DB05121-and-DB05259-and-DB11294	HLA-DRA-and-HLA-DRB1	
MHC class II protein complex	6	3.97794993182146	6.95120037281873e-05	0.012972677695773	HLA-DRB5,HLA-DRB1,HLA-DQA1,HLA-DQB1,HLA-DQA2,HLA-DOB	Brain_Nucleus_accumbens_basal_ganglia	genes P < pathway P	GO	Insulin pork-and-Glatiramer	3	DB00071-and-DB05259	HLA-DQA2-and-HLA-DQB1-and-HLA-DRB1	
DNA methylation involved in gamete generation	2	3.4621240334712	0.000535930108213102	0.0381020786458172	MAEL,PRMT7	Brain_Nucleus_accumbens_basal_ganglia	pathway P < genes P & genes FDR > 0.05	GO		0			
P granule	2	3.58390098783046	0.000338500445928506	0.0280767314317367	MAEL,TDRD6	Brain_Nucleus_accumbens_basal_ganglia	pathway P < genes P & genes FDR > 0.05	GO		0			
negative regulation of neuron apoptotic process	5	4.05673995527297	4.9762434426087e-05	0.0113174376997821	GCLM,XRCC4,BDNF,MEF2A,ITSN1	Brain_Nucleus_accumbens_basal_ganglia	pathway P < genes P & genes FDR < 0.05	GO	Glutamic acid-and-Cysteine-and-S-(Dimethylarsenic)Cysteine-and-CX717-and-Copper-and-Chondroitin sulfate-and-Esketamine	7	DB00142-and-DB00151-and-DB03963-and-DB05047-and-DB09130-and-DB09301-and-DB11823	GCLM-and-XRCC4-and-BDNF	Glutamic acid
cellular response to arsenic-containing substance	2	4.15943073840592	3.19041745155794e-05	0.00952658651035201	GSTO2,UROS	Brain_Nucleus_accumbens_basal_ganglia	pathway P < genes P & genes FDR < 0.05	GO	Cyclosporine-and-Glutathione-and-Proline-and-Triglyme-and-Coumarin 120	5	DB00091-and-DB00143-and-DB00172-and-DB02078-and-DB08168	PPIF-and-GSTO2	
cellular response to calcium ion	2	3.40854170842732	0.000653111002867197	0.0443224876036693	CARF,MEF2A	Brain_Nucleus_accumbens_basal_ganglia	pathway P < genes P & genes FDR > 0.05	GO		0			
negative regulation of transcription by RNA polymerase II	36	-4.17310574053939	3.0047540159052e-05	0.00227596325923983	MAD2L2,ZNF593,DMAP1,TBX15,HDGF,MAEL,MDM4,E2F6,TAGLN3,HCLS1,SHOX2,CTBP1,UBE2D3,PPID,RPS14,ZFP57,IKZF1,MEPCE,CAV1,PKIA,ZHX2,GLIS3,MXI1,WT1,NR1H3,OVOL1,ZNF202,CELA1,PIAS1,TBX6,WWP2,FLCN,HEXIM2,CBX8,NR2F6,ZNF675	Cells_EBV-transformed_lymphocytes	genes P < pathway P	GO	N,N-dimethylformamide-and-Formic acid-and-Cumidine-and-Mdl 101,146-and-2-[5-Methanesulfonylamino-2-(4-Aminophenyl)-6-Oxo-1,6-Dihydro-1-Pyrimidinyl]-N-(3,3,3-Trifluoro-1-Isopropyl-2-Oxopropyl)Acetamide-and-3,5-Diiodotyrosine-and-N-{4-[(Carboxymethyl)carbamoyl]benzoyl}-L-valyl-N-[(3S)-1,1,1-trifluoro-4-methyl-2-oxo-3-pentanyl]-L-prolinamide-and-N-{[(2-Methyl-2-propanyl)oxy]carbonyl}-L-alanyl-L-alaninamide-and-N-[2-(1-Formyl-2-Methyl-Propyl)-1-(4-Piperidin-1-Yl-but-2-Enoyl)-Pyrrolidin-3-Yl]-Methanesulfonamide-and-Freselestat-and-Hydroxyfasudil-and-(3R)-3-ethyl-N-[(4-methylphenyl)sulfonyl]-L-aspartic acid-and-(2S)-1-(3H-Indol-3-yl)-3-{[5-(6-isoquinolinyl)-3-pyridinyl]oxy}-2-propanamine-and-TO-901317-and-(1S)-2-(1H-INDOL-3-YL)-1-[({5-[(E)-2-PYRIDIN-4-YLVINYL]PYRIDIN-3-YL}OXY)METHYL]ETHYLAMINE-and-(1S)-1-(1H-INDOL-3-YLMETHYL)-2-(2-PYRIDIN-4-YL-[1,7]NAPHTYRIDIN-5-YLOXY)-EHYLAMINE-and-(TERT-BUTYLOXYCARBONYL)-ALANYL-AMINO ETHYL-FORMAMIDE-and-(4R,2S)-5'-(4-(4-CHLOROBENZYLOXY)PYRROLIDIN-2-YLMETHANESULFONYL)ISOQUINOLINE-and-N-METHYL-1-[4-(9H-PURIN-6-YL)PHENYL]METHANAMINE-and-(S)-1-PHENYL-1-[4-(9H-PURIN-6-YL)PHENYL]METHANAMINE-and-6-{4-[4-(4-CHLOROPHENYL)PIPERIDIN-4-YL]PHENYL}-9H-PURINE-and-(2R)-2-(4-chlorophenyl)-2-[4-(1H-pyrazol-4-yl)phenyl]ethanamine-and-(2S)-2-(4-chlorophenyl)-2-[4-(1H-pyrazol-4-yl)phenyl]ethanamine-and-4-(4-CHLOROPHENYL)-4-[4-(1H-PYRAZOL-4-YL)PHENYL]PIPERIDINE-and-(2R)-2-(4-CHLOROPHENYL)-2-PHENYLETHANAMINE-and-(S)-2-METHYL-1-[(4-METHYL-5-ISOQUINOLINE)SULFONYL]-HOMOPIPERAZINE-and-N-(TERT-BUTYL)-3,5-DIMETHYL-N'-[(5-METHYL-2,3-DIHYDRO-1,4-BENZODIOXIN-6-YL)CARBONYL]BENZOHYDRAZIDE-and-ISOQUINOLINE-5-SULFONIC ACID (2-(2-(4-CHLOROBENZYLOXY)ETHYLAMINO)ETHYL)AMIDE-and-(2-BROMOETHYL)(2-'FORMYL-4'-AMINOPHENYL) ACETATE-and-[1-(3-CHLORO-2-FORMYL-PHENYLCARBAMOYL)-2-METHYL-PROPYL]-CARBAMIC ACID TERT-BUTYL ESTER-and-METHYL(2-ACETOXY-2-(2-CARBOXY-4-AMINO-PHENYL))ACETATE-and-H-89-and-5-(2-methylpiperazine-1-sulfonyl)isoquinoline-and-N-[2-(METHYLAMINO)ETHYL]-5-ISOQUINOLINESULFONAMIDE-and-(2R)-3-{[(BENZYLAMINO)CARBONYL]AMINO}-2-HYDROXYPROPANOIC ACID-and-1-BENZYL-3-(4-METHOXYPHENYLAMINO)-4-PHENYLPYRROLE-2,5-DIONE-and-2-[4-(3-METHYL-1H-PYRAZOL-4-YL)PHENYL]ETHANAMINE-and-(2S)-1-(1H-INDOL-3-YL)-3-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE-and-3-pyridin-4-yl-1H-indazole-and-5-benzyl-1,3-thiazol-2-amine-and-1-[4-(4-chlorophenyl)-1-(7H-pyrrolo[2,3-d]pyrimidin-4-yl)piperidin-4-yl]methanamine-and-1-[4-(4-chlorobenzyl)-1-(7H-pyrrolo[2,3-d]pyrimidin-4-yl)piperidin-4-yl]methanamine-and-4-(4-chlorobenzyl)-1-(7H-pyrrolo[2,3-d]pyrimidin-4-yl)piperidin-4-aminium-and-Fasudil-and-(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID-and-Myristic acid-and-A-674563-and-3-PYRIDIN-4-YL-2,4-DIHYDRO-INDENO[1,2-.C.] PYRAZOLE-and-3-[[(METHYLAMINO)SULFONYL]AMINO]-2-OXO-6-PHENYL-N-[3,3,3-TRIFLUORO-1-(1-METHYLETHYL)-2-OXOPHENYL]-1(2H)-PYRIDINE ACETAMIDE-and-(2S,3S)-3-FORMYL-2-({[(4-METHYLPHENYL)SULFONYL]AMINO}METHYL)PENTANOIC ACID-and-(2S,3S)-3-FORMYL-2-({[(4-NITROPHENYL)SULFONYL]AMINO}METHYL)PENTANOIC ACID-and-Y-27632-and-Copper-and-Diacerein-and-Rhein	55	DB01844-and-DB01942-and-DB02114-and-DB02341-and-DB03202-and-DB03374-and-DB03702-and-DB03757-and-DB03890-and-DB03925-and-DB04707-and-DB06951-and-DB06959-and-DB07080-and-DB07107-and-DB07204-and-DB07433-and-DB07583-and-DB07854-and-DB07855-and-DB07856-and-DB07857-and-DB07858-and-DB07859-and-DB07860-and-DB07876-and-DB07929-and-DB07947-and-DB07955-and-DB07956-and-DB07957-and-DB07995-and-DB07996-and-DB07997-and-DB08007-and-DB08063-and-DB08070-and-DB08073-and-DB08113-and-DB08114-and-DB08148-and-DB08149-and-DB08150-and-DB08162-and-DB08175-and-DB08231-and-DB08568-and-DB08569-and-DB08614-and-DB08640-and-DB08641-and-DB08756-and-DB09130-and-DB11994-and-DB13174	CELA1-and-CTBP1-and-PKIA-and-NR1H3-and-HDGF	
ESCRT I complex	3	-3.40362093463772	0.000664989685641791	0.0151330085219024	VPS37A,TSG101,VPS37C	Cells_EBV-transformed_lymphocytes	genes P < pathway P	GO		0			
spindle pole	8	3.73165492399566	0.000190225964558633	0.00744977963527298	ALMS1,CEP63,KIF2A,RMDN1,DDX11,CKAP2,HAUS8,FAM110A	Cells_EBV-transformed_lymphocytes	pathway P < genes P & genes FDR < 0.05	GO		0			
RNA polymerase I activity	2	-3.33510422841577	0.000852674331292301	0.0184090201781569	POLR1A,POLR1D	Cells_EBV-transformed_lymphocytes	pathway P < genes P & genes FDR < 0.05	GO		0			
RNA polymerase II transcription factor binding	4	-3.23121162273634	0.00123266638881237	0.0243549651137949	MIXL1,HCLS1,TBX6,WWP2	Cells_EBV-transformed_lymphocytes	genes P < pathway P	GO		0			
RNA polymerase II activating transcription factor binding	3	-3.58394803735202	0.000338439443896905	0.0105542967318961	MAD2L2,ATF2,TBX6	Cells_EBV-transformed_lymphocytes	genes P < pathway P	GO		0			
ovarian follicle development	2	-4.21117594061151	2.54044786512528e-05	0.00225163905519525	IMMP2L,EIF2B2	Cells_EBV-transformed_lymphocytes	genes P < pathway P	GO		0			
B cell homeostasis	2	-4.55401808963169	5.26308272080008e-06	0.000756481647403291	BAK1,PPP2R3C	Cells_EBV-transformed_lymphocytes	pathway P < genes P & genes FDR < 0.05	GO	Caffeine-and-Pamidronic acid-and-Acetylsalicylic acid-and-Minocycline-and-Ibuprofen-and-Paclitaxel-and-Docetaxel-and-Dasatinib-and-Rasagiline-and-1-Tert-Butyl-3-(4-Chloro-Phenyl)-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine-and-5-[4-(1-Carboxymethyl-2-Oxo-Propylcarbamoyl)-Benzylsulfamoyl]-2-Hydroxy-Benzoic Acid-and-XL765-and-Paclitaxel docosahexaenoic acid-and-Emricasan-and-TG100-115-and-Incadronic acid-and-Apoptone-and-Bosutinib-and-Glycine betaine-and-2-((9H-PURIN-6-YLTHIO)METHYL)-5-CHLORO-3-(2-METHOXYPHENYL)QUINAZOLIN-4(3H)-ONE-and-2-HYDROXY-5-(2-MERCAPTO-ETHYLSULFAMOYL)-BENZOIC ACID-and-methyl (3S)-3-[(tert-butoxycarbonyl)amino]-4-oxopentanoate-and-1-METHYL-5-(2-PHENOXYMETHYL-PYRROLIDINE-1-SULFONYL)-1H-INDOLE-2,3-DIONE-and-[N-(3-dibenzylcarbamoyl-oxiranecarbonyl)-hydrazino]-acetic acid-and-4-[5-(2-CARBOXY-1-FORMYL-ETHYLCARBAMOYL)-PYRIDIN-3-YL]-BENZOIC ACID-and-(1S)-2-oxo-1-phenyl-2-[(1,3,4-trioxo-1,2,3,4-tetrahydroisoquinolin-5-yl)amino]ethyl acetate-and-(1S)-1-(3-chlorophenyl)-2-oxo-2-[(1,3,4-trioxo-1,2,3,4-tetrahydroisoquinolin-5-yl)amino]ethyl acetate-and-N-[3-(2-fluoroethoxy)phenyl]-N'-(1,3,4-trioxo-1,2,3,4-tetrahydroisoquinolin-6-yl)butanediamide-and-Eribulin-and-Ponatinib-and-Idelalisib-and-Nintedanib-and-Dexibuprofen-and-Isosorbide-and-Venetoclax-and-Duvelisib-and-Fostamatinib-and-Obatoclax-and-Navitoclax-and-Copanlisib-and-Glycyrrhizic acid	42	DB00201-and-DB00282-and-DB00945-and-DB01017-and-DB01050-and-DB01229-and-DB01248-and-DB01254-and-DB01367-and-DB03023-and-DB03124-and-DB05241-and-DB05297-and-DB05408-and-DB05552-and-DB06255-and-DB06307-and-DB06616-and-DB06756-and-DB06831-and-DB06862-and-DB07696-and-DB08213-and-DB08229-and-DB08251-and-DB08497-and-DB08498-and-DB08499-and-DB08871-and-DB08901-and-DB09054-and-DB09079-and-DB09213-and-DB09401-and-DB11581-and-DB11952-and-DB12010-and-DB12191-and-DB12340-and-DB12483-and-DB13751	PIK3CD-and-CASP3-and-BCL2-and-LYN	
release of cytochrome c from mitochondria	2	-3.82026271021936	0.000133309604928325	0.00590772038682366	BAK1,TIMM50	Cells_EBV-transformed_lymphocytes	genes P < pathway P	GO		0			
immunoglobulin production involved in immunoglobulin mediated immune response	2	4.50167526254477	6.74199370545255e-06	0.000873347492306315	HLA-DRB1,HLA-DQB1	Cells_EBV-transformed_lymphocytes	pathway P < genes P & genes FDR < 0.05	GO	Insulin pork-and-Glatiramer	2	DB00071-and-DB05259	HLA-DQB1-and-HLA-DRB1	
humoral immune response mediated by circulating immunoglobulin	3	3.57226183543406	0.000353911296954724	0.0106426182869956	HLA-DRB1,HLA-DQB1,ZP3	Cells_EBV-transformed_lymphocytes	genes P < pathway P	GO	Insulin pork-and-Glatiramer	2	DB00071-and-DB05259	HLA-DQB1-and-HLA-DRB1	
antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	3	4.71522857964352	2.41439546338854e-06	0.000406584196034631	HLA-DQA1,HLA-DQB1,HLA-DQB2	Cells_EBV-transformed_lymphocytes	pathway P < genes P & genes FDR < 0.05	GO	Insulin pork	1	DB00071	HLA-DQB1	
monocyte chemotaxis	2	-3.44338434132173	0.000574482256874116	0.0140206973996523	IL6R,CCL2	Cells_EBV-transformed_lymphocytes	genes P < pathway P	GO	Mimosine-and-Danazol-and-Tocilizumab-and-Chondroitin sulfate-and-Sarilumab	5	DB01055-and-DB01406-and-DB06273-and-DB09301-and-DB11767	CCL2-and-IL6R	
GTPase activity	25	3.1271342818534	0.00176519283297019	0.0305583080115857	GBP3,RIT1,GPN1,RALB,ARL4C,GNL3,GTPBP8,LSG1,GUF1,RAB24,RAB23,GNA12,RAC1,GTPBP10,RAB2A,ARL5B,RAB6A,SRP54,GNB5,GSPT1,TUFM,RAB34,RAB12,RAB31,TUBB6	Cells_EBV-transformed_lymphocytes	genes P < pathway P	GO	Azathioprine-and-Zinc-and-Guanosine-5'-Diphosphate-and-CYT997-and-Artenimol-and-Zinc acetate-and-Zinc chloride-and-Zinc sulfate, unspecified form	11	DB00993-and-DB01593-and-DB04315-and-DB05147-and-DB11638-and-DB14487-and-DB14533-and-DB14548	RAC1-and-TUFM-and-GSPT1-and-ARL5B-and-TUBB6	
ATP-dependent DNA helicase activity	5	3.61112430755162	0.000304872482188581	0.0098731780770302	CHD1L,MRE11A,RECQL,DDX11,BRIP1	Cells_EBV-transformed_lymphocytes	pathway P < genes P & genes FDR > 0.05	GO		0			
protein phosphatase inhibitor activity	4	3.42481071361942	0.00061522789745514	0.0145921659058374	PHACTR2,LMTK2,PPP1R14B,ARPP19	Cells_EBV-transformed_lymphocytes	genes P < pathway P	GO		0			
GTPase inhibitor activity	3	2.9491368512509	0.00318662833401421	0.0462975247461817	CPEB2,RHOH,DGKI	Cells_EBV-transformed_lymphocytes	genes P < pathway P	GO		0			
GTPase activator activity	15	4.22665789454474	2.37187855767171e-05	0.00225163905519525	ARHGEF19,RGS2,SRGAP3,DEPDC1B,RABGAP1,GARNL3,RGS10,ARHGAP20,RALGAPA1,NPRL3,TSC2,NF1,ARHGAP27,ANKRD27,ARHGAP40	Cells_EBV-transformed_lymphocytes	genes P < pathway P	GO		0			
phospholipid binding	6	3.28254073410279	0.00102876121174056	0.0211272424459891	PSD4,PLEKHA3,DAPP1,ANXA5,PLA2G7,PLA2G4C	Cells_EBV-transformed_lymphocytes	pathway P < genes P & genes FDR > 0.05	GO	Fluocinolone acetonide-and-Inositol 1,3,4,5-Tetrakisphosphate-and-L-Alpha-Glycerophosphorylserine-and-L-thioproline-and-K201 free base-and-sn-glycero-3-phosphoethanolamine-and-1,4-Dideoxy-O2-Sulfo-Glucuronic Acid-and-N,O6-Disulfo-Glucosamine-and-1,4-Dideoxy-5-Dehydro-O2-Sulfo-Glucuronic Acid-and-Rilapladib-and-(1R)-1,2,2-trimethylpropyl (R)-methylphosphinate-and-Copper	12	DB00591-and-DB01863-and-DB02497-and-DB02846-and-DB02929-and-DB03484-and-DB03935-and-DB03959-and-DB03981-and-DB05119-and-DB07821-and-DB09130	ANXA5-and-DAPP1-and-PLA2G7	
nuclear heterochromatin	2	-3.87775752325912	0.000105423710812725	0.00498719047455769	ZFP57,MPHOSPH8	Cells_EBV-transformed_lymphocytes	genes P < pathway P	GO		0			
TIM23 mitochondrial import inner membrane translocase complex	2	-2.93322339624964	0.00335462419917759	0.0471689181699412	TIMM10,TIMM50	Cells_EBV-transformed_lymphocytes	genes P < pathway P	GO		0			
mitochondrial ribosome	5	-3.45421978727527	0.000551887403061677	0.0138713192053114	MRPL35,MRPL18,MRPL51,MRPL28,MRPL39	Cells_EBV-transformed_lymphocytes	pathway P < genes P & genes FDR < 0.05	GO		0			
lysosomal membrane	27	3.16895655809546	0.00152987259782721	0.0277022091907637	PQLC2,LAMTOR2,TMBIM1,WDR41,SLC36A1,HLA-DRB5,HLA-DRB1,HLA-DQA1,HLA-DQB1,HLA-DQA2,HLA-DQB2,TMEM106B,TECPR1,RAB2A,RRAGA,SLC2A8,MARCH8,ACP2,M6PR,CLCN7,SPNS1,MMD,GAA,RAB12,MARCH2,VPS16,ATP6V1E1	Cells_EBV-transformed_lymphocytes	genes P < pathway P	GO	Insulin pork-and-Cyanocobalamin-and-Cystine-and-Glycine-and-Alanine-and-Oseltamivir-and-Hydroxocobalamin-and-Methotrexate-and-Acamprosate-and-Vigabatrin-and-D-glucose-and-Taurine-and-gamma-Aminobutyric acid-and-D-Proline-and-Guanosine-5'-Diphosphate-and-Tetrafluoroaluminate Ion-and-Glatiramer-and-Gaboxadol-and-Spaglumic Acid-and-Hydroxyproline-and-Nipecotic acid-and-Dextrose, unspecified form-and-Fludeoxyglucose (18F)	25	DB00071-and-DB00115-and-DB00138-and-DB00145-and-DB00160-and-DB00198-and-DB00200-and-DB00563-and-DB00659-and-DB01080-and-DB01914-and-DB01956-and-DB02530-and-DB02853-and-DB04315-and-DB04444-and-DB05259-and-DB06554-and-DB08835-and-DB08847-and-DB08849-and-DB09341-and-DB09502	HLA-DQA2-and-HLA-DQB1-and-CUBN-and-CTNS-and-SLC36A1-and-NEU1-and-SLC2A8-and-GNAI1-and-RAB7A-and-HLA-DRB1	Glycine
proteasome core complex	4	-3.01570472455787	0.00256382796328875	0.0388962728844889	PSMB8,PSMB9,PSMB1,PSMB3	Cells_EBV-transformed_lymphocytes	genes P < pathway P	GO	Bortezomib-and-(3AR,6R,6AS)-6-((S)-((S)-CYCLOHEX-2-ENYL)(HYDROXY)METHYL)-6A-METHYL-4-OXO-HEXAHYDRO-2H-FURO[3,2-C]PYRROLE-6-CARBALDEHYDE-and-Carfilzomib	6	DB00188-and-DB08515-and-DB08889	PSMB1-and-PSMB3-and-PSMB8-and-PSMB9	
microtubule	23	3.11718617458351	0.00182586226994009	0.0307475206257912	TBCE,SPAST,LRPPRC,DNAH6,DYNC1I2,HAUS3,TBCA,DNAH11,NEIL2,RMDN1,KIF24,INVS,LZTS2,STIM1,TCP11L1,CEP57,NUSAP1,KIFC3,TUBB6,TPGS2,HAUS8,KIF16B,CCT8	Cells_EBV-transformed_lymphocytes	genes P < pathway P	GO	alpha-Linolenic acid-and-Icosapent-and-Lansoprazole-and-Astemizole-and-Paclitaxel-and-Docetaxel-and-Phosphoaminophosphonic Acid-Adenylate Ester-and-Dronedarone-and-CYT997-and-Caldaret-and-Strontium chloride Sr-89-and-Calcium citrate-and-Calcium Phosphate-and-Artenimol-and-Phenethyl Isothiocyanate-and-Calcium phosphate dihydrate-and-Flortaucipir F-18	20	DB00132-and-DB00159-and-DB00448-and-DB00637-and-DB01229-and-DB01248-and-DB04395-and-DB04855-and-DB05147-and-DB06231-and-DB09498-and-DB11093-and-DB11348-and-DB11638-and-DB12695-and-DB14481-and-DB14914	SLC8A1-and-MAPT-and-CCT3-and-TUBB2A-and-TUBB6-and-IQGAP1	
intermediate filament	3	3.57839180128436	0.000345714933091261	0.0105851626786488	SLC1A4,BFSP2,MYO5A	Cells_EBV-transformed_lymphocytes	pathway P < genes P & genes FDR < 0.05	GO	Alanine	1	DB00160	SLC1A4	
caveola	5	3.51962443072115	0.000432158269833848	0.0117622415037172	CAV2,CAV1,TSC2,MAPK3,PACSIN2	Cells_EBV-transformed_lymphocytes	genes P < pathway P	GO	Streptokinase-and-Indecainide-and-Ticlopidine-and-Phenytoin-and-Disopyramide-and-Lidocaine-and-Treprostinil-and-Mexiletine-and-Hexylcaine-and-Cinchocaine-and-Mephenytoin-and-Sulindac-and-Moricizine-and-Riluzole-and-Prilocaine-and-Ethotoin-and-Clopidogrel-and-Benzonatate-and-Quinidine-and-Zonisamide-and-Procainamide-and-Tocainide-and-Arsenic trioxide-and-Propafenone-and-Flecainide-and-Encainide-and-Epoprostenol-and-Fosphenytoin-and-Quinidine barbiturate-and-Ajmaline-and-Aprindine-and-Purvalanol-and-5-iodotubercidin-and-2-tert-butyl-9-fluoro-1,6-dihydrobenzo[h]imidazo[4,5-f]isoquinolin-7-one-and-Dronedarone-and-XL019-and-SR-123781A-and-Regrelor-and-Seliciclib-and-Prasugrel-and-Vernakalant-and-Elinogrel-and-Cangrelor-and-Dalfampridine-and-5-phenyl-1H-indazol-3-amine-and-4-(3-amino-1H-indazol-5-yl)-N-tert-butylbenzenesulfonamide-and-4-[(2-{4-[(CYCLOPROPYLCARBAMOYL)AMINO]-1H-PYRAZOL-3-YL}-1H-BENZIMIDAZOL-6-YL)METHYL]MORPHOLIN-4-IUM-and-Ticagrelor-and-Cholecystokinin-and-Ruxolitinib-and-Tofacitinib-and-Vorapaxar-and-Thrombin-and-Isavuconazole-and-Dibotermin alfa-and-Baricitinib-and-Entrectinib-and-Fostamatinib-and-Fedratinib-and-Ulixertinib-and-Zanubrutinib	63	DB00086-and-DB00192-and-DB00208-and-DB00252-and-DB00280-and-DB00281-and-DB00374-and-DB00379-and-DB00473-and-DB00527-and-DB00532-and-DB00605-and-DB00680-and-DB00740-and-DB00750-and-DB00754-and-DB00758-and-DB00868-and-DB00908-and-DB00909-and-DB01035-and-DB01056-and-DB01169-and-DB01182-and-DB01195-and-DB01228-and-DB01240-and-DB01320-and-DB01346-and-DB01426-and-DB01429-and-DB02733-and-DB04604-and-DB04716-and-DB04855-and-DB05243-and-DB05361-and-DB05553-and-DB06195-and-DB06209-and-DB06217-and-DB06350-and-DB06441-and-DB06637-and-DB07161-and-DB07162-and-DB08067-and-DB08816-and-DB08862-and-DB08877-and-DB08895-and-DB09030-and-DB11300-and-DB11633-and-DB11639-and-DB11817-and-DB11986-and-DB12010-and-DB12500-and-DB13930-and-DB15035	F2R-and-SCN5A-and-P2RY12-and-MAPK3-and-JAK2-and-KCNA5-and-BMPR1A	
DNA recombination	19	3.62936455513957	0.000284119759955413	0.0095691535152983	NVL,SPAST,ACTR8,SMC4,WRNIP1,FIGNL1,ENDOG,IGHMBP2,MRE11A,RAD52,RECQL,XRCC3,SPATA5L1,LIG3,RDM1,RAD51C,INO80C,ACTR5,SMC1B	Cells_EBV-transformed_lymphocytes	genes P < pathway P	GO	Bleomycin	1	DB00290	LIG3	
