path	ngenes_tscore	CAD_HARD_z_t	CAD_HARD_pval	CAD_HARD_BHcorr	genes_path	tissue	replicated	class_pathway	type_path	drugBank_ann	drugBank_n	drugBank_id	drugBank_gene	drugBank_usedForCAD
integrin binding	23	-3.25340784194455	0.00114029706261095	0.0477100290996421	ITGA6,ADAM23,GSK3B,ITGB5,DMP1,NPNT,ITGA1,ITGA2,TGFBI,DST,GPNMB,LAMB1,LYN,ECM2,ADAMTS13,ITGB1,ILK,AMICA1,JAM3,ITGA7,CIB2,ADAM11,GFAP	Artery_Aorta	FALSE	pathway P < genes P & genes FDR > 0.05	GO	Antithymocyte immunoglobulin (rabbit)-and-Dasatinib-and-Lithium cation-and-3-[3-(2,3-Dihydroxy-Propylamino)-Phenyl]-4-(5-Fluoro-1-Methyl-1h-Indol-3-Yl)-Pyrrole-2,5-Dione-and-SB-409513-and-AR-AO-14418-and-Staurosporine-and-Indirubin-3'-monoxime-and-1-Tert-Butyl-3-(4-Chloro-Phenyl)-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine-and-6-bromoindirubin-3'-oxime-and-Alsterpaullone-and-Phosphoaminophosphonic Acid-Adenylate Ester-and-Glembatumumab vedotin-and-Lanoteplase-and-Bosutinib-and-2-(1,3-benzodioxol-5-yl)-5-[(3-fluoro-4-methoxybenzyl)sulfanyl]-1,3,4-oxadiazole-and-5-[1-(4-methoxyphenyl)-1H-benzimidazol-6-yl]-1,3,4-oxadiazole-2(3H)-thione-and-(7S)-2-(2-aminopyrimidin-4-yl)-7-(2-fluoroethyl)-1,5,6,7-tetrahydro-4H-pyrrolo[3,2-c]pyridin-4-one-and-N-[2-(5-methyl-4H-1,2,4-triazol-3-yl)phenyl]-7H-pyrrolo[2,3-d]pyrimidin-4-amine-and-5-(5-chloro-7H-pyrrolo[2,3-d]pyrimidin-4-yl)-4,5,6,7-tetrahydro-1H-imidazo[4,5-c]pyridine-and-3-({[(3S)-3,4-dihydroxybutyl]oxy}amino)-1H,2'H-2,3'-biindol-2'-one-and-N-[(1S)-2-amino-1-phenylethyl]-5-(1H-pyrrolo[2,3-b]pyridin-4-yl)thiophene-2-carboxamide-and-4-(4-CHLOROPHENYL)-4-[4-(1H-PYRAZOL-4-YL)PHENYL]PIPERIDINE-and-ISOQUINOLINE-5-SULFONIC ACID (2-(2-(4-CHLOROBENZYLOXY)ETHYLAMINO)ETHYL)AMIDE-and-(2S)-1-(1H-INDOL-3-YL)-3-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE-and-Ponatinib-and-Nintedanib-and-Calcium citrate-and-Calcium Phosphate-and-Fostamatinib-and-Tideglusib-and-Vonicog Alfa-and-Von Willebrand Factor Human-and-Calcium phosphate dihydrate-and-Lithium citrate-and-Lithium succinate-and-Lithium carbonate	38	DB00098-and-DB01254-and-DB01356-and-DB01772-and-DB01793-and-DB01950-and-DB02010-and-DB02052-and-DB03023-and-DB03444-and-DB04014-and-DB04395-and-DB05996-and-DB06245-and-DB06616-and-DB07014-and-DB07058-and-DB07149-and-DB07584-and-DB07585-and-DB07676-and-DB07812-and-DB07859-and-DB07947-and-DB08073-and-DB08901-and-DB09079-and-DB11093-and-DB11348-and-DB12010-and-DB12129-and-DB12872-and-DB13133-and-DB14481-and-DB14507-and-DB14508-and-DB14509	ITGB1-and-LYN-and-GSK3B-and-GPNMB-and-LAMB1-and-CIB2-and-ADAMTS13	
tricarboxylic acid cycle	3	-3.5616645678016	0.000368511008011416	0.0282045742229225	MDH1B,PDHB,SUCLG2	Artery_Aorta	TRUE	pathway P < genes P & genes FDR > 0.05	GO	Pyruvic acid-and-Succinic acid-and-NADH-and-Phenethyl Isothiocyanate	4	DB00119-and-DB00139-and-DB00157-and-DB12695	PDHB-and-SUCLG2	
animal organ morphogenesis	16	-3.95997845832233	7.49565245533778e-05	0.00904667592494229	LHX4,SFTPB,SMARCC1,GSK3B,EREG,NKX6-1,ITGA2,FGFR2,STX2,IFT88,FOXL1,INSR,APLP1,DGCR6,DGCR2,CRKL	Artery_Aorta	FALSE	pathway P < genes P & genes FDR > 0.05	GO	Insulin human-and-Palifermin-and-Insulin lispro-and-Insulin glargine-and-Insulin pork-and-Thalidomide-and-Heparin-and-Mecasermin-and-Insulin aspart-and-Insulin detemir-and-Insulin glulisine-and-Lithium cation-and-Zinc-and-3-[3-(2,3-Dihydroxy-Propylamino)-Phenyl]-4-(5-Fluoro-1-Methyl-1h-Indol-3-Yl)-Pyrrole-2,5-Dione-and-SB-409513-and-Sucrosofate-and-AR-AO-14418-and-Staurosporine-and-Indirubin-3'-monoxime-and-3-[4-(1-formylpiperazin-4-yl)-benzylidenyl]-2-indolinone-and-4-[4-(1-Amino-1-Methylethyl)Phenyl]-5-Chloro-N-[4-(2-Morpholin-4-Ylethyl)Phenyl]Pyrimidin-2-Amine-and-6-bromoindirubin-3'-oxime-and-Adenosine-5'-[Beta, Gamma-Methylene]Triphosphate-and-Alsterpaullone-and-Phosphoaminophosphonic Acid-Adenylate Ester-and-NN344-and-AT1391-and-2-(1,3-benzodioxol-5-yl)-5-[(3-fluoro-4-methoxybenzyl)sulfanyl]-1,3,4-oxadiazole-and-5-[1-(4-methoxyphenyl)-1H-benzimidazol-6-yl]-1,3,4-oxadiazole-2(3H)-thione-and-(7S)-2-(2-aminopyrimidin-4-yl)-7-(2-fluoroethyl)-1,5,6,7-tetrahydro-4H-pyrrolo[3,2-c]pyridin-4-one-and-N-[2-(5-methyl-4H-1,2,4-triazol-3-yl)phenyl]-7H-pyrrolo[2,3-d]pyrimidin-4-amine-and-5-(5-chloro-7H-pyrrolo[2,3-d]pyrimidin-4-yl)-4,5,6,7-tetrahydro-1H-imidazo[4,5-c]pyridine-and-3-({[(3S)-3,4-dihydroxybutyl]oxy}amino)-1H,2'H-2,3'-biindol-2'-one-and-N-[(1S)-2-amino-1-phenylethyl]-5-(1H-pyrrolo[2,3-b]pyridin-4-yl)thiophene-2-carboxamide-and-4-(4-CHLOROPHENYL)-4-[4-(1H-PYRAZOL-4-YL)PHENYL]PIPERIDINE-and-ISOQUINOLINE-5-SULFONIC ACID (2-(2-(4-CHLOROBENZYLOXY)ETHYLAMINO)ETHYL)AMIDE-and-(2S)-1-(1H-INDOL-3-YL)-3-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE-and-[4-({5-(AMINOCARBONYL)-4-[(3-METHYLPHENYL)AMINO]PYRIMIDIN-2-YL}AMINO)PHENYL]ACETIC ACID-and-Regorafenib-and-Ponatinib-and-Lenvatinib-and-Nintedanib-and-Chromic chloride-and-Copper-and-Insulin degludec-and-Foreskin fibroblast (neonatal)-and-Foreskin keratinocyte (neonatal)-and-Fostamatinib-and-Tideglusib-and-Erdafitinib-and-Brigatinib-and-Zinc acetate-and-Lithium citrate-and-Lithium succinate-and-Lithium carbonate-and-Zinc chloride-and-Zinc sulfate, unspecified form-and-Mecasermin rinfabate-and-Pemigatinib-and-Selpercatinib	62	DB00030-and-DB00039-and-DB00046-and-DB00047-and-DB00071-and-DB01041-and-DB01109-and-DB01277-and-DB01306-and-DB01307-and-DB01309-and-DB01356-and-DB01593-and-DB01772-and-DB01793-and-DB01901-and-DB01950-and-DB02010-and-DB02052-and-DB02058-and-DB02491-and-DB03444-and-DB03909-and-DB04014-and-DB04395-and-DB05115-and-DB05120-and-DB07014-and-DB07058-and-DB07149-and-DB07584-and-DB07585-and-DB07676-and-DB07812-and-DB07859-and-DB07947-and-DB08073-and-DB08513-and-DB08896-and-DB08901-and-DB09078-and-DB09079-and-DB09129-and-DB09130-and-DB09564-and-DB10770-and-DB10772-and-DB12010-and-DB12129-and-DB12147-and-DB12267-and-DB14487-and-DB14507-and-DB14508-and-DB14509-and-DB14533-and-DB14548-and-DB14751-and-DB15102-and-DB15685	INSR-and-FGFR2-and-GSK3B-and-APLP1	Heparin
kinase activity	25	-3.79016972458696	0.00015054438355194	0.0134973793024568	CNKSR1,CMPK1,FAM20B,PDK1,DTYMK,GSK3B,GAK,SGMS2,ALPK1,JAKMIP2,MAPK9,ABCB4,LRGUK,TPK1,FASTK,YWHAZ,MASTL,N4BP2L2,CKB,CDK10,FN3KRP,EPS8L1,PI4KA,PPM1F,BCR	Artery_Aorta	TRUE	pathway P < genes P & genes FDR > 0.05	GO	Creatine-and-Thiamine-and-Tenofovir disoproxil-and-Gemcitabine-and-Imatinib-and-Lamivudine-and-Acyclovir-and-Dasatinib-and-Lithium cation-and-Thymidine monophosphate-and-3-[3-(2,3-Dihydroxy-Propylamino)-Phenyl]-4-(5-Fluoro-1-Methyl-1h-Indol-3-Yl)-Pyrrole-2,5-Dione-and-SB-409513-and-AR-AO-14418-and-Staurosporine-and-Indirubin-3'-monoxime-and-2',3'-Dideoxythymidine-5'-Monophosphate-and-3'-Fluoro-3'-deoxythymidine 5'-monophosphate-and-3'-deoxy-3'-aminothymidine monophosphate-and-p1-(5'-adenosyl)p5-(5'-thymidyl)pentaphosphate-and-Cytidine-5'-Monophosphate-and-Uridine-5'-Diphosphate-and-6-bromoindirubin-3'-oxime-and-P1-(adenosine-5'-P5-(uridine-5')pentaphosphate-and-Zidovudine monophosphate-and-P1-(5'-Adenosyl)P5-(5'-(3'azido-3'-Deoxythymidyl))Pentaphosphate-and-Alsterpaullone-and-Phosphoaminophosphonic Acid-Adenylate Ester-and-Tetrafluoroaluminate Ion-and-Pyrithiamine Pyrophosphate-and-Silodosin-and-Etravirine-and-Bosutinib-and-2-(1,3-benzodioxol-5-yl)-5-[(3-fluoro-4-methoxybenzyl)sulfanyl]-1,3,4-oxadiazole-and-N-{3-[5-(1H-1,2,4-triazol-3-yl)-1H-indazol-3-yl]phenyl}furan-2-carboxamide-and-5-[1-(4-methoxyphenyl)-1H-benzimidazol-6-yl]-1,3,4-oxadiazole-2(3H)-thione-and-(7S)-2-(2-aminopyrimidin-4-yl)-7-(2-fluoroethyl)-1,5,6,7-tetrahydro-4H-pyrrolo[3,2-c]pyridin-4-one-and-4-[(3-CHLORO-4-{[(2R)-3,3,3-TRIFLUORO-2-HYDROXY-2-METHYLPROPANOYL]AMINO}PHENYL)SULFONYL]-N,N-DIMETHYLBENZAMIDE-and-N-[2-(5-methyl-4H-1,2,4-triazol-3-yl)phenyl]-7H-pyrrolo[2,3-d]pyrimidin-4-amine-and-5-(5-chloro-7H-pyrrolo[2,3-d]pyrimidin-4-yl)-4,5,6,7-tetrahydro-1H-imidazo[4,5-c]pyridine-and-3-({[(3S)-3,4-dihydroxybutyl]oxy}amino)-1H,2'H-2,3'-biindol-2'-one-and-N-[(1S)-2-amino-1-phenylethyl]-5-(1H-pyrrolo[2,3-b]pyridin-4-yl)thiophene-2-carboxamide-and-4-(4-CHLOROPHENYL)-4-[4-(1H-PYRAZOL-4-YL)PHENYL]PIPERIDINE-and-ISOQUINOLINE-5-SULFONIC ACID (2-(2-(4-CHLOROBENZYLOXY)ETHYLAMINO)ETHYL)AMIDE-and-(2S)-1-(1H-INDOL-3-YL)-3-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE-and-Dichloroacetic acid-and-Ponatinib-and-Sofosbuvir-and-Fostamatinib-and-Tideglusib-and-Phenethyl Isothiocyanate-and-Phosphocreatine-and-Magnesium gluconate-and-Lithium citrate-and-Lithium succinate-and-Lithium carbonate	59	DB00148-and-DB00152-and-DB00300-and-DB00441-and-DB00619-and-DB00709-and-DB00787-and-DB01254-and-DB01356-and-DB01643-and-DB01772-and-DB01793-and-DB01950-and-DB02010-and-DB02052-and-DB03150-and-DB03195-and-DB03233-and-DB03280-and-DB03403-and-DB03435-and-DB03444-and-DB03664-and-DB03666-and-DB03845-and-DB04014-and-DB04395-and-DB04444-and-DB04768-and-DB06207-and-DB06414-and-DB06616-and-DB07014-and-DB07020-and-DB07058-and-DB07149-and-DB07403-and-DB07584-and-DB07585-and-DB07676-and-DB07812-and-DB07859-and-DB07947-and-DB08073-and-DB08809-and-DB08901-and-DB08934-and-DB12010-and-DB12129-and-DB12695-and-DB13191-and-DB13749-and-DB14507-and-DB14508-and-DB14509	CKB-and-TPK1-and-CMPK1-and-BCR-and-GSK3B-and-DTYMK-and-ABCB4-and-MAPK9-and-PDK1-and-GAK-and-YWHAZ	
Rho GTPase binding	3	-4.0266814771664	5.65695818579744e-05	0.00710061391481294	VCL,FMNL3,IQGAP1	Artery_Aorta	TRUE	pathway P < genes P & genes FDR > 0.05	GO	Artenimol	1	DB11638	IQGAP1	
chondroitin sulfate biosynthetic process	5	-3.35970474106739	0.000780258124312191	0.0414991524422314	CHST13,CSGALNACT1,CSGALNACT2,CHST11,XYLT2	Artery_Aorta	TRUE	pathway P < genes P & genes FDR > 0.05	GO		0			
negative regulation of interferon-gamma production	3	-3.66014382093248	0.000252073724216203	0.0208159828050117	IL20RB,HLA-DRB1,LILRB1	Artery_Aorta	TRUE	pathway P < genes P & genes FDR > 0.05	GO	Glatiramer	1	DB05259	HLA-DRB1	
protein kinase A catalytic subunit binding	2	-3.83542956132811	0.000125345026973051	0.0124946033229665	GSK3B,PRKAR1A	Artery_Aorta	TRUE	pathway P < genes P & genes FDR > 0.05	GO	Lithium cation-and-3-[3-(2,3-Dihydroxy-Propylamino)-Phenyl]-4-(5-Fluoro-1-Methyl-1h-Indol-3-Yl)-Pyrrole-2,5-Dione-and-(Rp)-cAMPS-and-SB-409513-and-AR-AO-14418-and-Staurosporine-and-Indirubin-3'-monoxime-and-Cyclic GMP-and-Cyclic adenosine monophosphate-and-6-bromoindirubin-3'-oxime-and-Alsterpaullone-and-Phosphoaminophosphonic Acid-Adenylate Ester-and-GEM-231-and-2-(1,3-benzodioxol-5-yl)-5-[(3-fluoro-4-methoxybenzyl)sulfanyl]-1,3,4-oxadiazole-and-5-[1-(4-methoxyphenyl)-1H-benzimidazol-6-yl]-1,3,4-oxadiazole-2(3H)-thione-and-(7S)-2-(2-aminopyrimidin-4-yl)-7-(2-fluoroethyl)-1,5,6,7-tetrahydro-4H-pyrrolo[3,2-c]pyridin-4-one-and-N-[2-(5-methyl-4H-1,2,4-triazol-3-yl)phenyl]-7H-pyrrolo[2,3-d]pyrimidin-4-amine-and-5-(5-chloro-7H-pyrrolo[2,3-d]pyrimidin-4-yl)-4,5,6,7-tetrahydro-1H-imidazo[4,5-c]pyridine-and-3-({[(3S)-3,4-dihydroxybutyl]oxy}amino)-1H,2'H-2,3'-biindol-2'-one-and-N-[(1S)-2-amino-1-phenylethyl]-5-(1H-pyrrolo[2,3-b]pyridin-4-yl)thiophene-2-carboxamide-and-4-(4-CHLOROPHENYL)-4-[4-(1H-PYRAZOL-4-YL)PHENYL]PIPERIDINE-and-ISOQUINOLINE-5-SULFONIC ACID (2-(2-(4-CHLOROBENZYLOXY)ETHYLAMINO)ETHYL)AMIDE-and-(2S)-1-(1H-INDOL-3-YL)-3-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE-and-Fostamatinib-and-Tideglusib-and-Lithium citrate-and-Lithium succinate-and-Lithium carbonate	28	DB01356-and-DB01772-and-DB01790-and-DB01793-and-DB01950-and-DB02010-and-DB02052-and-DB02315-and-DB02527-and-DB03444-and-DB04014-and-DB04395-and-DB05798-and-DB07014-and-DB07058-and-DB07149-and-DB07584-and-DB07585-and-DB07676-and-DB07812-and-DB07859-and-DB07947-and-DB08073-and-DB12010-and-DB12129-and-DB14507-and-DB14508-and-DB14509	GSK3B-and-PRKAR1A	
histone deacetylase binding	7	3.74040731068979	0.00018372228918713	0.0155816363099788	LPIN1,UHRF1BP1,SP1,SUDS3,HIC1,CAMTA2,YWHAB	Artery_Aorta	TRUE	pathway P < genes P & genes FDR > 0.05	GO	Copper-and-Phenethyl Isothiocyanate	2	DB09130-and-DB12695	YWHAB	
reverse cholesterol transport	3	3.49079859038865	0.000481579149124265	0.0343453493170896	CLU,CETP,LIPG	Artery_Aorta	TRUE	pathway P < genes P & genes FDR > 0.05	GO	Zinc-and-Torcetrapib-and-Copper-and-Zinc acetate-and-Zinc chloride-and-Zinc sulfate, unspecified form	6	DB01593-and-DB06281-and-DB09130-and-DB14487-and-DB14533-and-DB14548	CLU-and-CETP	
negative regulation of insulin secretion	3	3.44830184308802	0.000564123230998801	0.0359169303830727	KCNJ11,SIRT4,SREBF1	Artery_Aorta	FALSE	pathway P < genes P & genes FDR > 0.05	GO	Glimepiride-and-Ibutilide-and-Verapamil-and-Levosimendan-and-Glyburide-and-Diazoxide-and-Thiamylal-and-Doconexent-and-Omega-3-acid ethyl esters-and-Omega-3 fatty acids-and-Isavuconazole-and-Fish oil	12	DB00222-and-DB00308-and-DB00661-and-DB00922-and-DB01016-and-DB01119-and-DB01154-and-DB03756-and-DB09539-and-DB11133-and-DB11633-and-DB13961	KCNJ11-and-SREBF1	
positive regulation of protein export from nucleus	2	-3.24682294173911	0.00116700966234674	0.0481852147426851	GSK3B,TCF7L2	Artery_Aorta	TRUE	pathway P < genes P & genes FDR > 0.05	GO	Lithium cation-and-3-[3-(2,3-Dihydroxy-Propylamino)-Phenyl]-4-(5-Fluoro-1-Methyl-1h-Indol-3-Yl)-Pyrrole-2,5-Dione-and-SB-409513-and-AR-AO-14418-and-Staurosporine-and-Indirubin-3'-monoxime-and-6-bromoindirubin-3'-oxime-and-Alsterpaullone-and-Phosphoaminophosphonic Acid-Adenylate Ester-and-2-(1,3-benzodioxol-5-yl)-5-[(3-fluoro-4-methoxybenzyl)sulfanyl]-1,3,4-oxadiazole-and-5-[1-(4-methoxyphenyl)-1H-benzimidazol-6-yl]-1,3,4-oxadiazole-2(3H)-thione-and-(7S)-2-(2-aminopyrimidin-4-yl)-7-(2-fluoroethyl)-1,5,6,7-tetrahydro-4H-pyrrolo[3,2-c]pyridin-4-one-and-N-[2-(5-methyl-4H-1,2,4-triazol-3-yl)phenyl]-7H-pyrrolo[2,3-d]pyrimidin-4-amine-and-5-(5-chloro-7H-pyrrolo[2,3-d]pyrimidin-4-yl)-4,5,6,7-tetrahydro-1H-imidazo[4,5-c]pyridine-and-3-({[(3S)-3,4-dihydroxybutyl]oxy}amino)-1H,2'H-2,3'-biindol-2'-one-and-N-[(1S)-2-amino-1-phenylethyl]-5-(1H-pyrrolo[2,3-b]pyridin-4-yl)thiophene-2-carboxamide-and-4-(4-CHLOROPHENYL)-4-[4-(1H-PYRAZOL-4-YL)PHENYL]PIPERIDINE-and-ISOQUINOLINE-5-SULFONIC ACID (2-(2-(4-CHLOROBENZYLOXY)ETHYLAMINO)ETHYL)AMIDE-and-(2S)-1-(1H-INDOL-3-YL)-3-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE-and-Fostamatinib-and-Tideglusib-and-Lithium citrate-and-Lithium succinate-and-Lithium carbonate	24	DB01356-and-DB01772-and-DB01793-and-DB01950-and-DB02010-and-DB02052-and-DB03444-and-DB04014-and-DB04395-and-DB07014-and-DB07058-and-DB07149-and-DB07584-and-DB07585-and-DB07676-and-DB07812-and-DB07859-and-DB07947-and-DB08073-and-DB12010-and-DB12129-and-DB14507-and-DB14508-and-DB14509	GSK3B	
spindle assembly	6	-4.21923329816447	2.45134512085833e-05	0.00404858999434391	CEP63,HAUS6,HAUS4,CEP192,HAUS1,HAUS8	Artery_Aorta	TRUE	pathway P < genes P & genes FDR > 0.05	GO		0			
protein polymerization	3	-3.37652225088255	0.000734084341907909	0.0397164942225348	CASQ2,ARL6,TUBG2	Artery_Aorta	TRUE	pathway P < genes P & genes FDR > 0.05	GO	Calcium citrate-and-Calcium Phosphate-and-Calcium phosphate dihydrate	3	DB11093-and-DB11348-and-DB14481	CASQ2	
membrane fusion	7	3.54547357082373	0.000391908286486687	0.0292811476903625	VAMP3,ATG7,HACE1,RABEP1,NPLOC4,NAPG,SNAP29	Artery_Aorta	TRUE	pathway P < genes P & genes FDR > 0.05	GO		0			
deadenylation-dependent decapping of nuclear-transcribed mRNA	2	-3.92122013734438	8.81017301859097e-05	0.0334125811730062	CCRN4L,DCPS	Artery_Coronary	TRUE	pathway P < genes P & genes FDR > 0.05	GO	7-methyl-GpppA-and-7-methyl-7,8-dihydroguanosine-5'-diphosphate-and-7-methyl-5'-guanylic acid-and-7-methyl-guanosine-5'-triphosphate-5'-guanosine-and-5-{[1-(2-fluorobenzyl)piperidin-4-yl]methoxy}quinazoline-2,4-diamine-and-5-{[1-(2,3-dichlorobenzyl)piperidin-4-yl]methoxy}quinazoline-2,4-diamine-and-5-[(1S)-1-(3-chlorophenyl)ethoxy]quinazoline-2,4-diamine	7	DB01649-and-DB01960-and-DB03593-and-DB03958-and-DB07642-and-DB07643-and-DB07644	DCPS	
endoplasmic reticulum organization	4	3.67371765075164	0.000239046874046715	0.0410251121429958	CACNA1S,JAGN1,PEX5,LMAN1	Artery_Coronary	TRUE	pathway P < genes P & genes FDR > 0.05	GO	Antihemophilic factor, human recombinant-and-Isradipine-and-Nimodipine-and-Nisoldipine-and-Cinnarizine-and-Ethanol-and-Felodipine-and-Nitrendipine-and-Nifedipine-and-Mibefradil-and-Dronedarone-and-Clevidipine-and-Nilvadipine-and-Pinaverium-and-Aranidipine-and-Lonoctocog alfa-and-Moroctocog alfa	17	DB00025-and-DB00270-and-DB00393-and-DB00401-and-DB00568-and-DB00898-and-DB01023-and-DB01054-and-DB01115-and-DB01388-and-DB04855-and-DB04920-and-DB06712-and-DB09090-and-DB09229-and-DB13998-and-DB13999	LMAN1-and-CACNA1S	
regulation of innate immune response	3	-4.02753016425507	5.63658378605434e-05	0.0334125811730062	ERAP1,TIRAP,DHX58	Artery_Coronary	TRUE	pathway P < genes P & genes FDR > 0.05	GO		0			
neuron projection morphogenesis	2	3.62915129040076	0.000284354561745913	0.0431365870168549	NYAP1,PAK1	Artery_Coronary	TRUE	pathway P < genes P & genes FDR > 0.05	GO	Fostamatinib	1	DB12010	PAK1	
